episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
176,450,7200,-2111.086306,0.101697,0.76351828,450,79200
177,450,7200,-2100.469824,0.100385,0.75535406,450,79650
178,450,7200,-1984.098749,0.099090,0.75615563,450,80100
179,450,7200,-1920.633717,0.097811,0.78179770,450,80550
180,450,7200,-1984.136464,0.096549,0.74859542,450,81000
181,450,7200,-1987.131010,0.095303,0.74170037,450,81450
182,450,7200,-1760.337074,0.094073,0.76148439,450,81900
183,450,7200,-1996.373162,0.092860,0.74002381,450,82350
184,450,7200,-1971.824789,0.091661,0.75143540,450,82800
185,450,7200,-1905.249809,0.090479,0.74729526,450,83250
186,450,7200,-1962.316381,0.089311,0.74196836,450,83700
187,450,7200,-2116.600335,0.088159,0.74733659,450,84150
188,450,7200,-1879.871697,0.087021,0.71931489,450,84600
189,450,7200,-2422.638078,0.085898,0.71659994,450,85050
190,450,7200,-1830.803906,0.084790,0.73339806,450,85500
191,450,7200,-1929.032013,0.083696,0.66265516,450,85950
192,450,7200,-1844.309924,0.082616,0.68690081,450,86400
193,450,7200,-1936.747584,0.081550,0.68198098,450,86850
194,450,7200,-1923.473097,0.080498,0.67589244,450,87300
195,450,7200,-1813.589837,0.079459,0.70403767,450,87750
196,450,7200,-2059.735463,0.078434,0.67756866,450,88200
197,450,7200,-2185.985315,0.077422,0.70065420,450,88650
198,450,7200,-1868.744606,0.076423,0.70492648,450,89100
199,450,7200,-1923.800848,0.075437,0.67312008,450,89550
200,450,7200,-1939.837874,0.074463,0.69153980,450,90000
201,450,7200,-1883.831132,0.073502,0.68234489,450,90450
202,450,7200,-1965.206337,0.072554,0.68811226,450,90900
203,450,7200,-1737.805921,0.071618,0.67488037,450,91350
204,450,7200,-1931.784520,0.070694,0.68407636,450,91800
205,450,7200,-1784.309011,0.069781,0.68881009,450,92250
206,450,7200,-1752.516090,0.068881,0.66620549,450,92700
207,450,7200,-1785.323054,0.067992,0.68690512,450,93150
208,450,7200,-1974.228136,0.067115,0.69010984,450,93600
209,450,7200,-1712.440606,0.066249,0.66731469,450,94050
210,450,7200,-1940.336483,0.065394,0.68202918,450,94500
211,450,7200,-1876.125279,0.064550,0.66699763,450,94950
212,450,7200,-1753.969650,0.063717,0.65563992,450,95400
213,450,7200,-1798.631847,0.062895,0.65248646,450,95850
214,450,7200,-1706.286325,0.062084,0.66104293,450,96300
215,450,7200,-1790.839891,0.061283,0.67105804,450,96750
216,450,7200,-2027.077495,0.060492,0.62396236,450,97200
217,450,7200,-1905.732455,0.059711,0.61684604,450,97650
218,450,7200,-1803.004774,0.058941,0.63399026,450,98100
219,450,7200,-1719.386301,0.058180,0.62349262,450,98550
220,450,7200,-2051.821293,0.057430,0.63503454,450,99000
221,450,7200,-1718.086070,0.056689,0.61712765,450,99450
222,450,7200,-1832.778419,0.055957,0.58924642,450,99900
223,450,7200,-2116.945885,0.055235,0.58530310,450,100000
224,450,7200,-1999.676137,0.054522,0.59560402,450,100000
225,450,7200,-1721.168795,0.053819,0.58680738,450,100000
226,450,7200,-1839.435779,0.053124,0.58903239,450,100000
227,450,7200,-1818.986086,0.052439,0.57375067,450,100000
228,450,7200,-1802.439595,0.051762,0.58930676,450,100000
229,450,7200,-2014.082160,0.051094,0.58266397,450,100000
230,450,7200,-2026.790172,0.050435,0.57144728,450,100000
231,450,7200,-2119.609634,0.049784,0.58400222,450,100000
232,450,7200,-1813.964535,0.049142,0.59559371,450,100000
